objectid,unit_name,countyname,tot_pop_y,tot_white,tot_black,tot_asian,tot_amind,tot_other,tot_hispanic,vap_total,vap_white,vap_black,vap_asian,vap_amind,vap_other,vap_hispanic,reg_total_24_12,reg_white_24_12,reg_black_24_12,reg_other_24_12,reg_dem_total_24_12,reg_dem_white_24_12,reg_dem_black_24_12,reg_dem_other_24_12,reg_rep_total_24_12,reg_rep_white_24_12,reg_rep_black_24_12,reg_rep_other_24_12,reg_oth_total_24_12,reg_oth_white_24_12,reg_oth_black_24_12,reg_oth_other_24_12,congressional,senate,house,public_service_commission,supreme_court
3300,14,Iberville,621,402,180,14,4,21,31,484,332,126,9,2,15,23,364,249,108,7,173,87,85,1,97,93,3,1,94,69,20,5,Congressional District 2,State Senate District 17,State House District 60,District 3,District 2
3390,106,Tangipahoa,1101,698,352,4,25,22,16,843,547,252,4,19,21,15,617,439,158,20,206,84,118,4,252,238,4,10,159,117,36,6,Congressional District 5,State Senate District 12,State House District 72,District 1,District 1
2005,3-6,Lafourche,1857,1519,166,27,49,96,126,1434,1225,98,19,31,61,71,1130,1044,37,49,248,218,20,10,561,544,2,15,321,282,15,24,Congressional District 1,State Senate District 19,State House District 55,District 2,District 5
2006,3-4,Lafourche,1835,637,1082,11,50,55,65,1375,525,766,9,31,44,45,880,281,569,30,491,99,382,10,134,103,25,6,255,79,162,14,Congressional District 3,State Senate District 19,State House District 55,District 2,District 5
2409,7,Livingston,1110,969,28,15,26,72,65,859,763,14,11,17,54,46,731,696,11,24,93,89,4,0,409,396,1,12,229,211,6,12,Congressional District 5,State Senate District 13,State House District 95,District 1,District 1
2411,19,Livingston,2340,2194,42,21,36,47,53,1694,1587,29,15,29,34,31,1414,1363,16,35,304,288,11,5,775,761,0,14,335,314,5,16,Congressional District 5,State Senate District 13,State House District 95,District 1,District 1
2672,2-23,Bossier,741,462,163,57,14,45,61,657,433,115,54,13,42,55,261,157,60,44,81,32,38,11,80,66,5,9,100,59,17,24,Congressional District 4,State Senate District 39,State House District 2,District 5,District 4
2032,5-17,Orleans,710,650,2,21,0,37,43,544,491,2,20,0,31,38,708,628,11,69,206,187,5,14,284,267,1,16,218,174,5,39,Congressional District 1,State Senate District 4,State House District 94,District 1,District 6
1386,7B,Vermilion,551,521,8,4,3,15,19,383,365,4,0,3,11,12,374,363,4,7,70,69,1,0,209,204,0,5,95,90,3,2,Congressional District 3,State Senate District 26,State House District 47,District 4,District 5
6739,10B,Iberville,509,126,360,3,4,16,20,382,99,267,3,4,9,10,373,90,276,7,243,15,226,2,58,55,3,0,72,20,47,5,Congressional District 2,State Senate District 2,State House District 60,District 3,District 2
7411,20B,Vermilion,676,590,32,17,8,29,24,515,458,24,11,7,15,11,421,407,7,7,105,100,4,1,212,206,1,5,104,101,2,1,Congressional District 3,State Senate District 26,State House District 47,District 4,District 5
4184,2-1A,Catahoula,52,28,24,0,0,0,0,45,21,24,0,0,0,0,50,28,21,1,22,7,15,0,16,14,1,1,12,7,5,0,Congressional District 5,State Senate District 32,State House District 21,District 5,District 4
4187,6-3A,Catahoula,81,52,27,0,0,2,0,68,43,23,0,0,2,0,59,37,22,0,27,7,20,0,17,17,0,0,15,13,2,0,Congressional District 5,State Senate District 32,State House District 20,District 5,District 4
3287,4,Iberville,1010,893,59,4,13,41,56,827,746,36,4,13,28,39,687,637,28,22,207,181,22,4,323,316,1,6,157,140,5,12,Congressional District 2,State Senate District 17,State House District 60,District 2,District 2
2376,2,Livingston,2784,2391,117,17,103,156,157,1945,1704,66,10,78,87,92,1572,1361,138,73,275,173,95,7,830,795,7,28,467,393,36,38,Congressional District 5,State Senate District 13,State House District 64,District 2,District 1
2377,4A,Livingston,1889,1664,75,14,70,66,79,1357,1209,47,9,56,36,45,1114,1055,24,35,145,123,20,2,630,612,3,15,339,320,1,18,Congressional District 5,State Senate District 13,State House District 64,District 2,District 1
2274,7-25A,Orleans,719,84,603,7,3,22,30,593,79,494,4,2,14,18,538,63,453,22,416,41,362,13,10,3,5,2,112,19,86,7,Congressional District 2,State Senate District 3,State House District 97,District 3,District 7
10,3,Union,1011,224,641,3,4,139,147,740,175,462,3,4,96,99,701,146,532,23,423,27,386,10,109,85,22,2,169,34,124,11,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
3230,44,Jefferson,2089,1409,205,95,36,344,451,1749,1250,166,70,25,238,317,1073,904,57,112,276,207,36,33,466,433,3,30,331,264,18,49,Congressional District 1,State Senate District 9,State House District 94,District 1,District 6
3393,110,Tangipahoa,2082,1543,300,9,80,150,165,1664,1254,217,5,65,123,135,1047,904,104,39,227,144,77,6,556,534,5,17,264,226,22,16,Congressional District 5,State Senate District 12,State House District 86,District 1,District 1
3394,101,Tangipahoa,1008,535,448,6,12,7,12,783,443,320,6,9,5,11,565,361,194,10,228,68,158,2,220,213,4,3,117,80,32,5,Congressional District 5,State Senate District 12,State House District 72,District 1,District 1
2249,4-6,Orleans,1394,531,525,41,21,276,316,1161,490,421,34,15,201,219,725,396,227,102,448,212,185,51,60,45,4,11,217,139,38,40,Congressional District 2,State Senate District 4,State House District 23,District 3,District 7
7412,32,Vermilion,480,94,349,25,5,7,14,372,79,266,21,4,2,8,257,46,202,9,164,17,146,1,20,12,7,1,73,17,49,7,Congressional District 3,State Senate District 26,State House District 31,District 4,District 5
7413,36A,Vermilion,560,199,276,44,11,30,34,389,163,168,38,3,17,19,224,99,104,21,110,43,62,5,32,24,5,3,82,32,37,13,Congressional District 3,State Senate District 26,State House District 31,District 4,District 5
2102,14-18A,Orleans,1743,1257,283,96,16,91,515,1610,1169,276,80,8,77,501,667,542,21,104,301,233,18,50,147,136,0,11,219,173,3,43,Congressional District 1,State Senate District 9,State House District 98,District 1,District 7
1990,2-6,Lafourche,1044,815,159,5,20,45,54,859,696,112,4,12,35,40,618,538,60,20,157,111,43,3,300,290,1,9,161,137,16,8,Congressional District 3,State Senate District 19,State House District 55,District 2,District 5
1992,2-8,Lafourche,708,627,36,8,4,33,46,564,514,19,8,1,22,33,507,484,6,17,98,92,3,3,276,268,2,6,133,124,1,8,Congressional District 3,State Senate District 19,State House District 55,District 2,District 5
1993,2-1,Lafourche,564,391,105,8,13,47,46,459,343,72,4,10,30,27,306,236,63,7,106,66,38,2,103,99,4,0,97,71,21,5,Congressional District 2,State Senate District 2,State House District 55,District 2,District 5
2422,5B,Livingston,2285,1857,120,31,57,220,267,1702,1416,80,18,40,148,172,1300,1126,106,68,202,119,70,13,671,646,5,20,427,361,31,35,Congressional District 5,State Senate District 13,State House District 64,District 2,District 1
2423,16,Livingston,2006,1858,39,15,45,49,40,1605,1492,34,11,34,34,28,1308,1255,19,34,323,303,12,8,642,625,1,16,343,327,6,10,Congressional District 1,State Senate District 18,State House District 81,District 1,District 1
2018,9-11,Orleans,519,334,116,20,14,35,34,494,322,106,20,13,33,32,415,284,71,60,271,184,55,32,12,10,0,2,132,90,16,26,Congressional District 2,State Senate District 3,State House District 99,District 3,District 7
2019,15-12,Orleans,550,54,451,3,8,34,57,414,47,331,3,8,25,42,409,38,348,23,286,20,253,13,17,8,7,2,106,10,88,8,Congressional District 2,State Senate District 7,State House District 102,District 3,District 7
2022,17-17,Orleans,657,619,8,10,2,18,25,501,478,4,7,0,12,17,573,536,2,35,155,145,0,10,253,244,0,9,165,147,2,16,Congressional District 1,State Senate District 4,State House District 94,District 1,District 6
3403,45A,Tangipahoa,2292,558,1547,14,37,136,149,1578,461,996,14,28,79,81,747,227,482,38,439,53,371,15,113,97,9,7,195,77,102,16,Congressional District 5,State Senate District 37,State House District 95,District 1,District 1
3404,46,Tangipahoa,1939,153,1739,10,8,29,52,1401,120,1245,5,7,24,38,860,37,798,25,624,6,603,15,32,13,19,0,204,18,176,10,Congressional District 5,State Senate District 37,State House District 72,District 1,District 1
3461,127,Tangipahoa,2637,1061,1407,25,30,114,133,1928,906,908,18,23,73,88,902,579,276,47,328,116,199,13,317,306,4,7,257,157,73,27,Congressional District 5,State Senate District 37,State House District 86,District 1,District 1
1301,6-1,St. John the Baptist,1683,835,665,13,17,153,197,1267,702,441,12,12,100,124,1051,517,429,105,503,151,316,36,227,204,7,16,321,162,106,53,Congressional District 2,State Senate District 19,State House District 57,District 3,District 7
3094,39,Jefferson,1025,886,13,22,10,94,112,832,726,9,17,9,71,78,824,743,3,78,138,119,2,17,443,421,0,22,243,203,1,39,Congressional District 1,State Senate District 9,State House District 94,District 1,District 6
3143,246,Jefferson,1004,668,36,32,81,187,241,729,513,27,21,57,111,133,514,459,19,36,82,62,14,6,268,255,0,13,164,142,5,17,Congressional District 1,State Senate District 8,State House District 84,District 1,District 6
3147,10-G,Jefferson,1912,1190,257,54,41,370,436,1538,1026,191,41,30,250,302,1153,921,103,129,315,212,73,30,509,469,5,35,329,240,25,64,Congressional District 2,State Senate District 8,State House District 85,District 3,District 6
7398,26B,Vermilion,620,568,22,5,9,16,13,416,380,14,2,5,15,12,426,404,12,10,52,45,7,0,274,269,0,5,100,90,5,5,Congressional District 3,State Senate District 26,State House District 31,District 4,District 5
7399,31,Vermilion,43,10,32,0,0,1,1,33,9,24,0,0,0,0,31,15,14,2,13,6,6,1,4,3,1,0,14,6,7,1,Congressional District 3,State Senate District 26,State House District 47,District 4,District 5
3123,96,Jefferson,539,492,4,4,6,33,36,389,353,1,3,6,26,28,457,421,2,34,69,60,1,8,251,244,0,7,137,117,1,19,Congressional District 1,State Senate District 9,State House District 82,District 1,District 6
2156,9-34A,Orleans,1531,13,1481,6,4,27,47,1051,9,1019,0,2,21,28,710,4,679,27,569,2,550,17,16,1,15,0,125,1,114,10,Congressional District 2,State Senate District 4,State House District 99,District 3,District 7
2158,5-5,Orleans,979,128,756,13,23,59,83,776,118,582,13,15,48,59,587,99,434,54,393,52,314,27,12,6,6,0,182,41,114,27,Congressional District 2,State Senate District 5,State House District 93,District 3,District 7
1977,5-1,Lafourche,898,720,122,2,9,45,43,645,537,66,1,8,33,28,966,831,97,38,183,117,62,4,489,475,2,12,294,239,33,22,Congressional District 2,State Senate District 2,State House District 55,District 2,District 5
